theta_deg,z_mm,mu_deg,N_i_N,M_load_Nm,M_arm_Nm,M_simple_Nm,M_jac_Nm,valid
-45,-569.316755632332,NaN,NaN,NaN,NaN,NaN,NaN,0
-44.9,-569.518381228765,14.0993042294,60.5245950260872,24.6637724731305,9.78615346219189,34.4499259353224,16.5843839030551,0
-44.8,-569.721011173053,14.1657701359759,60.5422759110994,24.670977433773,9.8031590914521,34.4741365252251,16.6351870291453,0
-44.7,-569.924646529807,14.2322831468749,60.5600612776704,24.6782249706507,9.82013485858961,34.4983598292403,16.6859961027183,0
-44.6,-570.129288363819,14.2988434024653,60.5779514882377,24.6855152314569,9.83708071189329,34.5225959433502,16.7368110777417,0
-44.5,-570.334937740037,14.3654510431637,60.5959469074811,24.6928483647986,9.85399659974313,34.5468449645417,16.7876319075766,0
-44.4,-570.54159572355,14.4321062094337,60.6140479023359,24.7002245202019,9.87088247061041,34.5711069908123,16.8384585449728,0
-44.3,-570.749263379561,14.4988090417857,60.6322548420058,24.7076438481174,9.88773827305782,34.5953821211752,16.8892909420652,0
-44.2,-570.95794177337,14.5655596807753,60.650568097976,24.7151064999252,9.90456395573968,34.6196704556649,16.9401290503696,0
-44.1,-571.167631970351,14.6323582670031,60.6689880440271,24.722612627941,9.92135946740203,34.6439720953431,16.9909728207781,0
-44,-571.37833503593,14.6992049411134,60.6875150562478,24.730162385421,9.93812475688284,34.6682871423038,17.0418222035555,0
-43.9,-571.590052035567,14.7660998437936,60.7061495130491,24.7377559265675,9.95485977311212,34.6926156996796,17.0926771483343,0
-43.8,-571.802784034731,14.8330431157727,60.7248917951774,24.7453934065348,9.97156446511211,34.7169578716469,17.1435376041114,0
-43.7,-572.016532098879,14.9000348978215,60.7437422857286,24.7530749814344,9.98823878199743,34.7413137634318,17.1944035192433,0
-43.6,-572.231297293435,14.9670753307507,60.7627013701618,24.760800808341,10.0048826729752,34.7656834813162,17.2452748414417,0
-43.5,-572.447080683767,15.0341645554105,60.7817694363134,24.7685710452977,10.0214960873453,34.790067132643,17.2961515177701,0
-43.4,-572.663883335165,15.1013027126896,60.800946874411,24.7763858513225,10.0380789745003,34.8144648258228,17.3470334946384,0
-43.3,-572.881706312821,15.1684899435141,60.8202340770876,24.7842453864132,10.0546312839259,34.8388766703391,17.3979207177999,0
-43.2,-573.100550681804,15.2357263888468,60.8396314393961,24.7921498115539,10.0711529652009,34.8633027767548,17.4488131323459,0
-43.1,-573.320417507037,15.3030121896861,60.8591393588235,24.8000992887206,10.0876439679974,34.8877432567179,17.4997106827021,0
-43,-573.541307853277,15.3703474870653,60.8787582353054,24.808093980887,10.1041042420809,34.9121982229679,17.5506133126243,0
-42.9,-573.763222785092,15.4377324220515,60.8984884712411,24.8161340520307,10.1205337373106,34.9366677893413,17.6015209651939,0
-42.8,-573.986163366833,15.5051671357442,60.9183304715075,24.8242196671393,10.1369324036393,34.9611520707786,17.6524335828135,0
-42.7,-574.21013066262,15.5726517692753,60.9382846434747,24.8323509922159,10.153300191114,34.98565118333,17.7033511072032,0
-42.6,-574.43512573631,15.6401864638073,60.9583513970208,24.840528194286,10.1696370498755,35.0101652441614,17.7542734793955,0
-42.5,-574.661149651479,15.7077713605328,60.9785311445468,24.8487514414028,10.1859429301588,35.0346943715616,17.8052006397317,0
-42.4,-574.888203471398,15.775406600673,60.998824300992,24.8570209026542,10.2022177822935,35.0592386849477,17.8561325278572,0
-42.3,-575.116288259008,15.8430923254774,61.0192312838494,24.8653367481686,10.2184615567035,35.0837983048721,17.9070690827171,0
-42.2,-575.345405076894,15.9108286762222,61.0397525131809,24.8736991491212,10.2346742039075,35.1083733530287,17.9580102425523,0
-42.1,-575.575554987269,15.9786157942096,61.0603884116332,24.8821082777405,10.2508556745189,35.1329639522594,18.0089559448948,0
-42,-575.80673905194,16.0464538207667,61.0811394044535,24.8905643073148,10.2670059192461,35.1575702265609,18.0599061265635,0
-41.9,-576.038958332294,16.1143428972445,61.1020059195049,24.8990674121982,10.2831248888928,35.1821923010911,18.1108607236599,0
-41.8,-576.272213889265,16.1822831650168,61.1229883872829,24.9076177678178,10.2992125343577,35.2068303021755,18.1618196715636,0
-41.7,-576.506506783314,16.2502747654793,61.1440872409311,24.9162155506794,10.3152688066352,35.2314843573146,18.2127829049281,0
-41.6,-576.741838074406,16.3183178400483,61.1653029162579,24.9248609383751,10.3312936568149,35.25615459519,18.2637503576764,0
-41.5,-576.97820882198,16.38641253016,61.1866358517522,24.933554109589,10.3472870360824,35.2808411456714,18.3147219629968,0
-41.4,-577.21562008493,16.4545589772692,61.2080864886003,24.9422952441046,10.3632488957191,35.3055441398237,18.3656976533381,0
-41.3,-577.454072921577,16.5227573228482,61.2296552707026,24.9510845228113,10.3791791871025,35.3302637099138,18.4166773604056,0
-41.2,-577.693568389644,16.5910077083859,61.25134264469,24.9599221277112,10.395077861706,35.3549999894172,18.467661015157,0
-41.1,-577.934107546232,16.6593102753865,61.2731490599409,24.9688082419259,10.4109448710996,35.3797531130255,18.5186485477971,0
-41,-578.175691447793,16.7276651653687,61.2950749685983,24.9777430497038,10.4267801669497,35.4045232166535,18.5696398877744,0
-40.9,-578.418321150108,16.7960725198643,61.3171208255872,24.9867267364268,10.442583701019,35.4293104374458,18.6206349637763,0
-40.8,-578.661997708257,16.8645324804173,61.3392870886311,24.9957594886172,10.4583554251675,35.4541149137846,18.6716337037246,0
-40.7,-578.906722176595,16.9330451885828,61.3615742182703,25.0048414939451,10.4740952913515,35.4789367852967,18.7226360347713,0
-40.6,-579.152495608729,17.0016107859255,61.3839826778789,25.0139729412356,10.4898032516249,35.5037761928605,18.7736418832942,0
-40.5,-579.399319057488,17.0702294140192,61.4065129336827,25.0231540204757,10.5054792581383,35.528633278614,18.8246511748924,0
-40.4,-579.647193574898,17.138901214445,61.4291654547772,25.0323849228217,10.52112326314,35.5535081859618,18.8756638343821,0
-40.3,-579.896120212157,17.2076263287909,61.4519407131454,25.0416658406067,10.5367352189757,35.5784010595824,18.9266797857921,0
-40.2,-580.146100019608,17.2764048986498,61.4748391836758,25.0509969673479,10.5523150780885,35.6033120454364,18.9776989523592,0
-40.1,-580.397134046712,17.345237065619,61.4978613441811,25.0603784977538,10.5678627930196,35.6282412907734,19.0287212565242,0
-40,-580.649223342021,17.4141229712988,61.5210076754163,25.0698106277321,10.5833783164079,35.65318894414,19.0797466199273,0
-39.9,-580.902368953155,17.4830627572913,61.5442786610974,25.0792935543972,10.5988616009904,35.6781551553876,19.1307749634035,0
-39.8,-581.156571926767,17.5520565651991,61.5676747879202,25.0888274760775,10.6143125996023,35.7031400756798,19.1818062069786,0
-39.7,-581.411833308525,17.6211045366244,61.5911965455791,25.0984125923235,10.6297312651773,35.7281438575008,19.2328402698645,0
-39.6,-581.66815414308,17.6902068131679,61.6148444267861,25.1080491039153,10.6451175507475,35.7531666546628,19.283877070455,0
-39.5,-581.925535474038,17.7593635364268,61.6386189272901,25.1177372128707,10.6604714094434,35.7782086223141,19.3349165263211,0
-39.4,-582.183978343934,17.8285748479947,61.6625205458963,25.1274771224528,10.6757927944946,35.8032699169474,19.385958554207,0
-39.3,-582.443483794207,17.8978408894593,61.6865497844856,25.1372690371779,10.6910816592295,35.8283506964074,19.4370030700254,0
-39.2,-582.704052865167,17.9671618024021,61.7107071480343,25.147113162824,10.7063379570756,35.8534511198996,19.4880499888531,0
-39.1,-582.965686595971,18.0365377283967,61.7349931446339,25.1570097064383,10.7215616415596,35.8785713479979,19.5390992249269,0
-39,-583.228386024592,18.1059688090072,61.7594082855112,25.1669588763458,10.7367526663074,35.9037115426532,19.5901506916388,0
-38.9,-583.492152187796,18.175455185788,61.7839530850483,25.1769608821572,10.7519109850445,35.9288718672017,19.6412043015318,0
-38.8,-583.756986121108,18.2449970002814,61.8086280608033,25.1870159347773,10.7670365515962,35.9540524863735,19.6922599662957,0
-38.7,-584.022888858786,18.314594394017,61.8334337335302,25.1971242464135,10.7821293198872,35.9792535663008,19.7433175967623,0
-38.6,-584.289861433793,18.3842475085103,61.8583706272,25.207286030584,10.7971892439425,36.0044752745265,19.7943771029013,0
-38.5,-584.557904877768,18.4539564852614,61.8834392690217,25.2175015021263,10.8122162778868,36.0297177800131,19.8454383938157,0
-38.4,-584.827020220996,18.5237214657535,61.9086401894625,25.227770877206,10.8272103759453,36.0549812531512,19.8965013777377,0
-38.3,-585.097208492382,18.5935425914519,61.9339739222699,25.238094373325,10.8421714924432,36.0802658657682,19.947565962024,0
-38.2,-585.368470719418,18.6634200038026,61.9594410044926,25.2484722093308,10.8570995818064,36.1055717911372,19.9986320531516,0
-38.1,-585.640807928156,18.733353844231,61.9850419765021,25.2589046054246,10.8719945985615,36.1308992039861,20.0496995567134,0
-38,-585.914221143179,18.8033442541406,62.0107773820143,25.2693917831708,10.8868564973355,36.1562482805063,20.1007683774138,0
-37.9,-586.188711387571,18.8733913749114,62.0366477681115,25.2799339655054,10.9016852328566,36.181619198362,20.1518384190644,0
-37.8,-586.464279682887,18.9434953478988,62.0626536852646,25.2905313767453,10.9164807599538,36.2070121366991,20.2029095845794,0
-37.7,-586.740927049123,19.0136563144325,62.0887956873552,25.3011842425972,10.9312430335575,36.2324272761547,20.2539817759715,0
-37.6,-587.018654504688,19.0838744158147,62.1150743316979,25.3118927901669,10.9459720086991,36.257864798866,20.3050548943475,0
-37.5,-587.297463066371,19.1541497933189,62.1414901790634,25.3226572479683,10.9606676405117,36.2833248884801,20.3561288399038,0
-37.4,-587.577353749315,19.2244825881886,62.1680437937008,25.3334778459331,10.9753298842298,36.3088077301629,20.4072035119221,0
-37.3,-587.858327566981,19.294872941636,62.1947357433608,25.3443548154195,10.9899586951897,36.3343135106093,20.4582788087652,0
-37.2,-588.140385531122,19.3653209948403,62.2215665993191,25.3552883892225,11.0045540288295,36.3598424180521,20.5093546278724,0
-37.1,-588.423528651754,19.4358268889466,62.2485369363996,25.3662788015828,11.0191158406893,36.3853946422721,20.5604308657556,0
-37,-588.707757937118,19.5063907650645,62.275647332998,25.3773262881967,11.0336440864112,36.4109703746078,20.6115074179944,0
-36.9,-588.993074393658,19.5770127642664,62.3028983711055,25.3884310862255,11.0481387217397,36.4365698079652,20.6625841792322,0
