F34 body0 plane A=212220.0mm2 n=(0.000,0.000,-1.000) C=(631.7,-1238.9,-1693.0) box=[581.7,-2300.0,-1693.0 .. 681.7,-177.8,-1693.0]
F35 body0 plane A=38400.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2630.0,-1743.0) box=[-878.3,-2630.0,-1853.0 .. -658.3,-2630.0,-1633.0]
F36 body0 plane A=4400.0mm2 n=(1.000,0.000,0.000) C=(-878.3,-2640.0,-1743.0) box=[-878.3,-2650.0,-1853.0 .. -878.3,-2630.0,-1633.0]
F37 body0 plane A=4400.0mm2 n=(0.000,0.000,-1.000) C=(-768.3,-2640.0,-1633.0) box=[-878.3,-2650.0,-1633.0 .. -658.3,-2630.0,-1633.0]
F38 body0 plane A=4400.0mm2 n=(-1.000,0.000,0.000) C=(-658.3,-2640.0,-1743.0) box=[-658.3,-2650.0,-1853.0 .. -658.3,-2630.0,-1633.0]
F39 body0 plane A=4400.0mm2 n=(0.000,0.000,1.000) C=(-768.3,-2640.0,-1853.0) box=[-878.3,-2650.0,-1853.0 .. -658.3,-2630.0,-1853.0]
F40 body0 plane A=48400.0mm2 n=(0.000,-1.000,0.000) C=(-768.3,-2650.0,-1743.0) box=[-878.3,-2650.0,-1853.0 .. -658.3,-2650.0,-1633.0]
F41 body0 plane A=38400.0mm2 n=(0.000,-1.000,0.000) C=(631.7,-2630.0,-1743.0) box=[521.7,-2630.0,-1853.0 .. 741.7,-2630.0,-1633.0]
F42 body0 plane A=4400.0mm2 n=(1.000,0.000,0.000) C=(521.7,-2640.0,-1743.0) box=[521.7,-2650.0,-1853.0 .. 521.7,-2630.0,-1633.0]
F43 body0 plane A=4400.0mm2 n=(0.000,0.000,-1.000) C=(631.7,-2640.0,-1633.0) box=[521.7,-2650.0,-1633.0 .. 741.7,-2630.0,-1633.0]
F44 body0 plane A=4400.0mm2 n=(-1.000,0.000,0.000) C=(741.7,-2640.0,-1743.0) box=[741.7,-2650.0,-1853.0 .. 741.7,-2630.0,-1633.0]
F45 body0 plane A=4400.0mm2 n=(0.000,0.000,1.000) C=(631.7,-2640.0,-1853.0) box=[521.7,-2650.0,-1853.0 .. 741.7,-2630.0,-1853.0]
F46 body0 plane A=48400.0mm2 n=(0.000,-1.000,0.000) C=(631.7,-2650.0,-1743.0) box=[521.7,-2650.0,-1853.0 .. 741.7,-2650.0,-1633.0]
